ID,Você conhece e já utilizou o Simulador de Aposentadoria no SOUGOV.BR?,Acho que gostaria de utilizar o Simulador de Aposentadoria com frequência,"1
Acho que gostaria de utilizar o Simulador de Aposentadoria com frequência",Eu achei o Simulador de Aposentadoria muito complexo,"2
Eu achei o Simulador de Aposentadoria muito complexo",Eu achei o Simulador de Aposentadoria fácil de usar,"3
Eu achei o Simulador de Aposentadoria fácil de usar",Eu acho que precisaria de ajuda de uma pessoa com conhecimentos específicos para usar o Simulador de Aposentadoria,"4
Eu acho que precisaria de ajuda de uma pessoa com conhecimentos específicos para usar o Simulador de Aposentadoria",Eu achei que as várias funções do Simulador de Aposentadoria estão muito bem integradas,"5
Eu achei que as várias funções do Simulador de Aposentadoria estão muito bem integradas",Eu achei que o Simulador de Aposentadoria apresenta muita inconsistência,"6
Eu achei que o Simulador de Aposentadoria apresenta muita inconsistência",Eu imagino que as pessoas aprenderão como usar o Simulador de Aposentadoria rapidamente,"7
Eu imagino que as pessoas aprenderão como usar o Simulador de Aposentadoria rapidamente",Eu achei o Simulador de Aposentadoria difícil de usar,"8
Eu achei o Simulador de Aposentadoria difícil de usar",Eu me senti confiante usando o Simulador de Aposentadoria,"9
Eu me senti confiante usando o Simulador de Aposentadoria",Eu precisei aprender várias coisas novas antes de conseguir usar o Simulador de Aposentadoria,"10
Eu precisei aprender várias coisas novas antes de conseguir usar o Simulador de Aposentadoria","Agradeço a sua participação e abro o espaço para que você possa contribuir com alguma crítica, sugestão ou elogio sobre o Simulador de Aposentadoria.","Some a pontuação total de todas as questões ímpares (questões 1, 3, 5, 7 e 9) e, em seguida, subtraia 5 do total para obter (X).","Some a pontuação total de todas as questões de número par (questões 2, 4, 6, 8 e 10), então subtraia esse total de 25 para obter (Y).","Some a pontuação total dos novos valores (X+Y) e multiplique por 2,5.",clean_text,comment_in_english
16,Sim,Concordo totalmente,5,Concordo parcialmente,4,Discordo parcialmente,2,Discordo totalmente,1,Discordo totalmente,1,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Concordo parcialmente,4,Discordo totalmente,1,"Ótima iniciativa, mas não funcionou comigo",12,9,"52,5",otimo iniciativa funcionar comigo,"Great initiative, but it didn't work for me"
18,Sim,Concordo totalmente,5,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Discordo parcialmente,2,"Não tive nenhuma dificuldade no uso do simulador. O resultado no simulador é igual ao que solicitei, a teriormente, à PROGEP ( data de possível aposentadoria: paridade e último salário).",15,19,85,nenhum dificuldade uso resultado igual solicitei teriormente progep data paridade salario,I didn't have any difficulties using the simulator. the result in the simulator is the same as what I previously requested from progep (date of possible retirement: parity and last salary).
22,Sim,"Não concordo, nem discordo",3,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Seria mais interessante se o simulador apresentasse a data que será possível aposentar junto com a prévia do valor que será o benefício. ,6,20,65,interessante data junto previa beneficio,It would be more interesting if the simulator presented the date on which it will be possible to retire along with a preview of the amount that the benefit will be.
27,Sim,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Concordo totalmente,5,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Não,12,7,"47,5",,No
36,Sim,Concordo totalmente,5,"Não concordo, nem discordo",3,Concordo totalmente,5,Discordo totalmente,1,"Não concordo, nem discordo",3,Discordo totalmente,1,Concordo parcialmente,4,Discordo parcialmente,2,Concordo totalmente,5,Discordo parcialmente,2,SUGIRO QUE O SIMULADOR TRAGA MAIS INFORMAÇÕES SOBRE AS REGRAS DE TRANSIÇÃO.,17,16,"82,5",sugiro tragar informacao regra transicao,I suggest that the simulator provides more information about the transition rules.
38,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Concordo parcialmente,4,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Concordo parcialmente,4,Poderia ter opção para o usuário validar as informações usadas na simulação ,18,14,80,opcao usuario validar informacao,There could be an option for the user to validate the information used in the simulation
46,Sim,Concordo totalmente,5,"Não concordo, nem discordo",3,Concordo parcialmente,4,"Não concordo, nem discordo",3,Discordo parcialmente,2,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo parcialmente,2,Discordo totalmente,1,Discordo parcialmente,2,"O final da simulação sai zerada e ele não está considerando o tempo de serviço em outros locais, no meu caso passei 3 anos em concurso municipal que não estão sendo levados em conta.",10,13,"57,5",sair zerar considerar outro passar ano concurso municipal levar conta,"The end of the simulation is zero and it is not taking into account the length of service in other places, in my case I spent 3 years in a municipal competition which is not being taken into account."
52,Sim,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Seria interessante simular valor no caso de optar pelo RPC,14,15,"72,5",interessante optar rpc,It would be interesting to simulate value in case of opting for rpc
58,Sim,Concordo totalmente,5,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Discordo totalmente,1,Concordo totalmente,5,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não consegui fazer a simulação, pois só considera o tempo trabalhado no IBGE. Aí não serve para nada.",10,8,45,conseguir considerar trabalhar ibge servir,"I was unable to do the simulation, as it only takes into account the time worked at IBGE. then it is of no use."
61,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Achei o simulador fácil de utilizar ,17,20,"92,5",facil utilizar,I found the simulator easy to use
