ID,"1
Acho que gostaria de utilizar o Simulador de Aposentadoria com frequência","2
Eu achei o Simulador de Aposentadoria muito complexo","3
Eu achei o Simulador de Aposentadoria fácil de usar","4
Eu acho que precisaria de ajuda de uma pessoa com conhecimentos específicos para usar o Simulador de Aposentadoria","5
Eu achei que as várias funções do Simulador de Aposentadoria estão muito bem integradas","6
Eu achei que o Simulador de Aposentadoria apresenta muita inconsistência","7
Eu imagino que as pessoas aprenderão como usar o Simulador de Aposentadoria rapidamente","8
Eu achei o Simulador de Aposentadoria difícil de usar","9
Eu me senti confiante usando o Simulador de Aposentadoria","10
Eu precisei aprender várias coisas novas antes de conseguir usar o Simulador de Aposentadoria","Agradeço a sua participação e abro o espaço para que você possa contribuir com alguma crítica, sugestão ou elogio sobre o Simulador de Aposentadoria."
3,5,1,5,1,5,1,5,1,1,1,
9,2,5,1,5,1,3,1,5,1,3,
13,4,3,3,3,2,3,2,4,2,5,
15,4,4,4,2,5,1,4,5,5,3,
16,5,4,2,1,1,5,5,5,4,1,"Ótima iniciativa, mas não funcionou comigo"
18,5,1,1,1,5,1,4,1,5,2,"Não tive nenhuma dificuldade no uso do simulador. O resultado no simulador é igual ao que solicitei, a teriormente, à PROGEP ( data de possível aposentadoria: paridade e último salário)."
20,1,2,2,2,3,3,2,2,1,3,
22,3,1,1,1,1,1,1,1,5,1,Seria mais interessante se o simulador apresentasse a data que será possível aposentar junto com a prévia do valor que será o benefício. 
27,4,4,4,5,3,3,3,3,3,3,Não
36,5,3,5,1,3,1,4,2,5,2,SUGIRO QUE O SIMULADOR TRAGA MAIS INFORMAÇÕES SOBRE AS REGRAS DE TRANSIÇÃO.
38,5,1,5,1,4,4,5,1,4,4,Poderia ter opção para o usuário validar as informações usadas na simulação 
45,4,1,4,1,4,1,4,1,1,1,
46,5,3,4,3,2,2,3,2,1,2,"O final da simulação sai zerada e ele não está considerando o tempo de serviço em outros locais, no meu caso passei 3 anos em concurso municipal que não estão sendo levados em conta."
47,3,1,5,1,5,2,5,1,4,1,
49,3,2,4,3,4,3,4,2,4,3,
52,3,2,4,2,4,2,4,2,4,2,Seria interessante simular valor no caso de optar pelo RPC
56,4,2,4,1,2,2,4,1,4,1,
57,4,4,4,2,4,3,4,2,5,1,
58,5,3,3,3,1,5,3,3,3,3,"Não consegui fazer a simulação, pois só considera o tempo trabalhado no IBGE. Aí não serve para nada."
59,2,4,2,1,3,3,4,2,2,5,
61,5,1,4,1,4,1,5,1,4,1,Achei o simulador fácil de utilizar 
63,5,1,5,1,5,1,5,1,5,1,Só não consegui saber se poderei me aposentar porque ainda não consegui a averbação das minhas atividades anteriores quando da minha entrada no serviço público federal. Tenho certeza que vou conseguir resolver em breve essa questão. Muito obrigado.
65,4,4,4,4,4,4,4,4,4,4,
66,3,3,3,3,3,3,3,3,3,3,
67,5,5,5,1,5,1,5,1,5,1,Hshdhdh
69,3,5,5,2,2,1,3,1,5,1,"Sugiro inserir na simulação, não apenas as datas, mas os valores, com base no contracheque mais atual, informando, obviamente, que não são valores gerados apenas para simulação."
70,5,5,1,2,1,5,2,4,1,3,"O meu simulador não levou em conta o tempo de averbação que eu já fiz, fiquei desesperado."
74,4,1,5,1,5,1,4,1,5,1,"Achei simples e fácil de usar, além de muito oportuno, pois é uma demanda grande para nós que trabalhamos na gestão de pessoas.  "
76,5,1,5,1,1,1,5,1,1,1,"Apesar de nos ""dados temporais"" constar que eu tenho 22 anos de serviço público (03 anos de serviço público estadual + 19 anos de federal), o que está correto, a data de início no serviço público desconsidera o meu tempo de serviço estadual, apesar de averbado.
Assim, ao invés de estar registrado 15.07.2002 (data de início no serviço público, ainda que estadual), consta 05.09.2005 (data de início no serviço público federal), o que faz com que a simulação de aposentadoria esteja INCORRETA.
"
81,5,4,4,5,5,1,5,4,4,4,Acho que seria interessante que o simulador escolhesse ou ajudasse a escolher a melhor lei para a gente optar na hora de se aposentar. 
83,3,4,2,2,1,2,2,4,4,3,NO consegui finalizar a simulação.
