ID,"1
Acho que gostaria de utilizar o Simulador de Aposentadoria com frequência","2
Eu achei o Simulador de Aposentadoria muito complexo","3
Eu achei o Simulador de Aposentadoria fácil de usar","4
Eu acho que precisaria de ajuda de uma pessoa com conhecimentos específicos para usar o Simulador de Aposentadoria","5
Eu achei que as várias funções do Simulador de Aposentadoria estão muito bem integradas","6
Eu achei que o Simulador de Aposentadoria apresenta muita inconsistência","7
Eu imagino que as pessoas aprenderão como usar o Simulador de Aposentadoria rapidamente","8
Eu achei o Simulador de Aposentadoria difícil de usar","9
Eu me senti confiante usando o Simulador de Aposentadoria","10
Eu precisei aprender várias coisas novas antes de conseguir usar o Simulador de Aposentadoria",comments,X,Y,sus,clean_text
3,5,1,5,1,5,1,5,1,1,1,,16,20,90.0,
9,2,5,1,5,1,3,1,5,1,3,,1,4,12.5,
13,4,3,3,3,2,3,2,4,2,5,,8,7,37.5,
15,4,4,4,2,5,1,4,5,5,3,,17,10,67.5,
16,5,4,2,1,1,5,5,5,4,1,"Ótima iniciativa, mas não funcionou comigo",12,9,52.5,otimo iniciativa funcionar comigo
18,5,1,1,1,5,1,4,1,5,2,"Não tive nenhuma dificuldade no uso do simulador. O resultado no simulador é igual ao que solicitei, a teriormente, à PROGEP ( data de possível aposentadoria: paridade e último salário).",15,19,85.0,nenhum dificuldade uso resultado igual solicitei teriormente progep data paridade salario
20,1,2,2,2,3,3,2,2,1,3,,4,13,42.5,
22,3,1,1,1,1,1,1,1,5,1,Seria mais interessante se o simulador apresentasse a data que será possível aposentar junto com a prévia do valor que será o benefício. ,6,20,65.0,interessante data junto previa beneficio
27,4,4,4,5,3,3,3,3,3,3,Não,12,7,47.5,
36,5,3,5,1,3,1,4,2,5,2,SUGIRO QUE O SIMULADOR TRAGA MAIS INFORMAÇÕES SOBRE AS REGRAS DE TRANSIÇÃO.,17,16,82.5,sugiro tragar informacao regra transicao
38,5,1,5,1,4,4,5,1,4,4,Poderia ter opção para o usuário validar as informações usadas na simulação ,18,14,80.0,opcao usuario validar informacao
45,4,1,4,1,4,1,4,1,1,1,,12,20,80.0,
46,5,3,4,3,2,2,3,2,1,2,"O final da simulação sai zerada e ele não está considerando o tempo de serviço em outros locais, no meu caso passei 3 anos em concurso municipal que não estão sendo levados em conta.",10,13,57.5,sair zerar considerar outro passar ano concurso municipal levar conta
47,3,1,5,1,5,2,5,1,4,1,,17,19,90.0,
49,3,2,4,3,4,3,4,2,4,3,,14,12,65.0,
52,3,2,4,2,4,2,4,2,4,2,Seria interessante simular valor no caso de optar pelo RPC,14,15,72.5,interessante optar rpc
56,4,2,4,1,2,2,4,1,4,1,,13,18,77.5,
57,4,4,4,2,4,3,4,2,5,1,,16,13,72.5,
58,5,3,3,3,1,5,3,3,3,3,"Não consegui fazer a simulação, pois só considera o tempo trabalhado no IBGE. Aí não serve para nada.",10,8,45.0,conseguir considerar trabalhar ibge servir
59,2,4,2,1,3,3,4,2,2,5,,8,10,45.0,
61,5,1,4,1,4,1,5,1,4,1,Achei o simulador fácil de utilizar ,17,20,92.5,facil utilizar
63,5,1,5,1,5,1,5,1,5,1,Só não consegui saber se poderei me aposentar porque ainda não consegui a averbação das minhas atividades anteriores quando da minha entrada no serviço público federal. Tenho certeza que vou conseguir resolver em breve essa questão. Muito obrigado.,20,20,100.0,conseguir conseguir averbacao atividade anterior entrada publico federal conseguir resolver
65,4,4,4,4,4,4,4,4,4,4,,15,5,50.0,
66,3,3,3,3,3,3,3,3,3,3,,10,10,50.0,
67,5,5,5,1,5,1,5,1,5,1,Hshdhdh,20,16,90.0,hshdhdh
69,3,5,5,2,2,1,3,1,5,1,"Sugiro inserir na simulação, não apenas as datas, mas os valores, com base no contracheque mais atual, informando, obviamente, que não são valores gerados apenas para simulação.",13,15,70.0,sugiro inserir data base contracheque atual informar obviamente gerar
70,5,5,1,2,1,5,2,4,1,3,"O meu simulador não levou em conta o tempo de averbação que eu já fiz, fiquei desesperado.",5,6,27.5,levar conta averbacao fiz fiquei desesperar
74,4,1,5,1,5,1,4,1,5,1,"Achei simples e fácil de usar, além de muito oportuno, pois é uma demanda grande para nós que trabalhamos na gestão de pessoas.  ",18,20,95.0,simples facil oportuno demanda trabalhar gestao pessoa
76,5,1,5,1,1,1,5,1,1,1,"Apesar de nos ""dados temporais"" constar que eu tenho 22 anos de serviço público (03 anos de serviço público estadual + 19 anos de federal), o que está correto, a data de início no serviço público desconsidera o meu tempo de serviço estadual, apesar de averbado.
Assim, ao invés de estar registrado 15.07.2002 (data de início no serviço público, ainda que estadual), consta 05.09.2005 (data de início no serviço público federal), o que faz com que a simulação de aposentadoria esteja INCORRETA.
",12,20,80.0,apesar dado temporal constar ano publico ano publico estadual ano federal correto data publico desconsiderar estadual apesar averbado inves registrar data publico estadual constar data publico federal incorreto
81,5,4,4,5,5,1,5,4,4,4,Acho que seria interessante que o simulador escolhesse ou ajudasse a escolher a melhor lei para a gente optar na hora de se aposentar. ,18,7,62.5,interessante escolher ajudar escolher lei gente optar hora
83,3,4,2,2,1,2,2,4,4,3,NO consegui finalizar a simulação.,7,10,42.5,conseguir finalizar
86,5,1,5,1,3,5,5,1,1,1,"O cálculo da minha aposentadoria está estranho. Eu tenho 29 anos se serviço público federal, tomei posse em novembro de 1995. O cálculo indica que tenho 24 anos. Consultei o RH do instituto mas não obtive sucesso. Outro fato é que não tem a opção de aposentadoria especial e nem a conversão do tempo especial em comum.
Respeitosamente,
Renato Semmler
Funcionário do IPEN - CNEN
CEREP 1178807",14,16,75.0,calculo estranho ano publico federal tomeir posse novembro calculo indicar ano consultar instituto obtiver sucesso outro fato opcao especial conversao especial comum respeitosamente renato semmler funcionario ipen cnen cerep
87,1,1,2,3,1,1,3,2,2,1,"O simulador não retornou nada, nem mesmo a prévia que o mesmo informa, então para mim não houve utilidade do mesmo.",4,17,52.5,retornar previa informar utilidade
92,4,4,5,4,5,3,5,2,5,4,,19,8,67.5,
94,3,2,2,1,1,5,1,2,4,2,"O simulador deveria importar os dados do Meu INSS e da Carteira de Trabalho Digital, fornecendo informações coerentes sobre o tempo de aposentadoria. E não focando apenas no tempo de serviço publico do SIAPE atual.
Sei que breve teremos novidades e um recurso muito melhor, quem sabe, até averbando automáticamente o tempo de serviço do servidor em outros locais.",6,13,47.5,importar dado inss carteira trabalho digital fornecer informacao coerente focar publico siape atual novidade recurso averbar automaticamente outro
96,5,1,5,1,3,3,5,1,1,5,,14,14,70.0,
97,1,1,2,2,2,2,2,1,2,2,"Esse simulador de aposentadoria não me contemplou,  pois sou PCD, e não foi possível realizar a simulação de aposentadoria. Ingressei no Ibge em vaga PCD e por lei posso me aposentar com 60 anos , só que o simulador  proporciona esta simulação pra PCD.",4,17,52.5,contemplar pcd realizar ingressei ibge vaga pcd lei ano proporcionar pra pcd
98,4,2,5,2,2,4,5,2,2,2,"O simulador não abre a regra de transição para quem entrou no serviço público em 2002. Só da a opção de aposentadoria com a media de todos os salários, portanto não mostra a realidade para servidores antigos.",13,13,65.0,abrir regra transicao entrar publico opcao media salario mostrar realidade antigo
100,5,1,5,1,5,4,5,1,4,1,"Gostei muito do simulador. Sou deficiente visual cadastrado no SIAPE como tal e o sistema não oferece a opção de aposentadoria especial.
Gostaria de aferir se os valores informados são realmente confiáveis",19,17,90.0,gostar deficiente visual cadastrar siape oferecer opcao especial gostar aferir informar realmente confiavel
102,5,1,5,1,5,1,5,1,5,1,É uma ferramenta  muito útil no momento em que os departamentos de RH estão sobrecarregados e com pouco pessoal. Como o programa faz a previsão da aposentadoria ele acaba permitindo sabermos quando podemos solicitar nosso abono permanência se esse for o objetivo. Parabéns aos responsáveis.,20,20,100.0,ferramenta util departamento sobrecarregado pessoal programa previsao acabar permitir sabermos solicitar abono permanencia objetivo parabens responsavel
107,3,3,3,3,3,3,3,3,3,3,Sempre é bom ter uma pessoa que saiba ajudar os futuros aposentados,10,10,50.0,pessoa ajudar futuro aposentado
108,1,1,5,1,5,1,5,1,5,1,,16,20,90.0,
109,5,1,5,4,4,1,4,1,5,1,"Poderia informar a data provável para aposentadoria, mas também a do abono de permanência.",18,17,87.5,informar data provavel abono permanencia
