dominant_topic,document_id,document_score
7,16,1.0
8,18,0.3942
11,22,1.0
3,36,0.7385
10,38,1.0
12,46,0.6458
13,52,1.0
9,58,0.6721
4,61,0.6082
1,63,0.5603
9,67,0.0
10,69,0.5393
0,70,0.6932
10,74,0.5097
12,76,0.4399
10,81,0.5154
9,83,1.0
12,86,0.3182
14,87,0.0
10,94,0.5438
2,97,0.621
8,98,0.2641
9,100,0.3561
10,102,0.5722
12,107,1.0
11,109,0.6839
11,110,0.3635
8,120,1.0
7,122,1.0
8,124,0.2391
8,126,0.0
8,127,1.0
1,131,0.9004
5,132,1.0
10,137,0.3539
2,141,0.3773
11,142,0.3424
0,149,1.0
12,151,0.48
1,152,0.3734
3,153,0.5859
1,162,0.5007
10,163,0.4013
3,164,1.0
3,168,0.7178
4,169,1.0
3,170,0.4243
2,171,0.7734
9,172,0.0
13,190,0.5402
9,192,1.0
8,193,0.4744
4,211,0.3996
8,214,0.5099
7,215,1.0
12,219,0.188
7,220,0.5343
4,227,0.3789
0,229,1.0
2,231,0.4686
12,237,0.5408
2,239,0.4623
14,244,0.7638
7,247,1.0
9,248,1.0
9,251,0.0
9,266,0.0
14,271,0.5386
11,272,0.3572
7,273,0.5767
11,274,0.5714
3,276,1.0
10,280,1.0
7,281,0.4924
9,283,1.0
4,284,1.0
14,285,0.6738
0,286,0.706
5,289,1.0
8,290,0.4992
14,291,0.5349
12,293,0.0
4,296,0.3065
2,307,0.6622
2,312,0.4538
3,315,0.57
12,330,0.5535
5,333,0.5608
11,339,0.8089
12,341,0.6214
4,342,0.6036
11,344,0.8537
12,347,0.4626
12,350,0.5409
4,356,0.3302
1,358,1.0
1,359,0.5351
14,360,1.0
10,371,0.3746
10,373,0.5009
12,374,0.7863
12,376,0.7169
2,383,0.3139
12,385,0.4744
9,388,0.0
1,391,0.3519
14,395,0.0
12,398,0.5841
7,403,0.5663
9,411,0.3996
14,419,0.3848
9,420,0.0
14,421,0.7807
12,429,0.395
10,430,0.2576
9,431,1.0
2,437,0.5015
4,443,0.0
5,445,0.8055
14,456,1.0
11,457,0.4293
10,460,0.3846
1,461,0.4907
10,468,0.8895
3,472,1.0
2,475,1.0
0,476,1.0
10,480,0.2517
12,485,1.0
8,496,0.9003
14,500,0.519
10,507,0.4077
9,508,0.4517
12,512,0.6381
4,520,0.5901
12,525,1.0
10,528,0.534
9,530,0.0
1,534,1.0
7,535,1.0
7,546,1.0
12,549,1.0
4,551,0.6018
3,553,1.0
7,557,0.5597
4,558,0.7471
4,561,1.0
9,562,0.4498
1,563,0.3088
5,565,0.2464
5,570,0.7561
1,571,0.7694
9,579,0.0
9,583,0.3048
11,593,1.0
4,594,1.0
9,595,1.0
1,597,0.4556
3,603,0.5344
7,613,0.7102
10,617,0.0
12,619,0.433
11,620,0.3182
4,622,0.5644
2,637,0.7101
12,642,0.3276
4,644,1.0
0,645,1.0
14,646,0.5502
10,647,0.2459
10,648,0.5643
7,649,0.0
7,650,0.3578
14,655,0.7869
7,656,0.7997
7,660,0.5667
1,664,0.5298
4,666,0.5644
11,667,0.5391
10,668,0.3712
4,676,0.2497
0,677,1.0
14,687,0.3683
8,689,1.0
2,692,1.0
10,693,0.0
0,694,0.7024
8,696,0.458
9,704,0.6462
14,709,0.1889
7,710,0.8857
4,711,0.3182
11,714,0.4097
9,715,0.5273
7,718,1.0
14,721,0.3232
10,723,0.3848
10,726,0.6273
11,732,0.5832
14,733,0.3033
4,737,1.0
8,742,0.3824
9,744,1.0
0,746,1.0
1,753,0.255
7,754,1.0
10,759,1.0
1,762,1.0
14,768,0.0
1,769,0.3923
9,774,0.5171
10,777,0.7582
9,780,0.3394
3,785,1.0
10,790,1.0
0,793,0.4181
9,795,0.3662
13,805,0.3591
1,807,1.0
1,808,0.441
12,809,0.7682
7,810,0.3161
12,814,0.4738
0,817,0.4124
3,819,0.3873
1,823,0.4073
12,824,0.297
14,827,0.4892
10,830,0.528
7,833,0.2639
5,834,1.0
10,835,0.8605
14,838,0.2383
12,841,0.9038
9,845,0.5273
14,846,0.2895
0,848,0.6838
5,854,0.632
10,855,0.8433
8,859,1.0
4,860,0.7876
10,863,0.0
10,864,0.423
4,868,1.0
13,878,0.4977
14,879,0.8191
4,882,1.0
3,883,0.0
3,885,0.4457
12,886,1.0
2,892,0.6846
3,898,0.536
14,900,1.0
1,901,0.6293
0,902,0.1924
11,907,0.2146
7,914,0.5378
4,915,0.2334
13,918,1.0
7,919,0.2311
11,927,0.3334
9,932,1.0
8,933,1.0
9,935,0.5025
5,937,0.5638
2,940,0.363
1,941,0.5188
9,942,1.0
3,943,0.2315
12,945,0.4891
12,948,0.2305
9,953,0.3179
1,955,0.5092
9,961,0.5713
12,962,1.0
9,965,1.0
2,968,0.2586
0,972,0.5577
12,975,0.4207
10,977,0.1949
4,978,0.4402
4,980,0.0
1,987,0.2536
12,988,0.3045
0,989,1.0
10,992,1.0
2,997,0.5644
1,1000,0.5093
4,1001,1.0
3,1003,1.0
10,1004,0.6219
10,1005,0.5369
9,1010,0.5171
1,1024,0.4206
10,1026,0.5145
4,1031,1.0
4,1033,0.0
4,1036,1.0
8,1048,0.8482
9,1050,0.0
13,1051,0.7742
4,1052,0.4257
4,1055,0.4041
11,1060,0.3391
4,1063,0.5609
10,1076,0.5083
14,1081,0.8005
2,1082,0.7596
0,1083,1.0
7,1084,1.0
11,1087,0.7379
7,1089,0.0
4,1093,0.3675
5,1097,1.0
12,1098,0.5077
7,1100,0.6211
4,1105,1.0
7,1107,1.0
14,1113,0.3518
11,1119,0.7222
1,1120,0.7488
1,1123,0.5465
10,1124,0.3486
12,1128,0.4596
14,1137,1.0
14,1141,0.2746
9,1142,0.5911
3,1145,1.0
8,1157,1.0
1,1161,0.4508
1,1170,0.6875
0,1171,0.6198
2,1172,0.7402
0,1177,1.0
10,1178,0.403
6,1181,0.5749
8,1190,0.635
8,1197,0.7491
1,1199,0.511
12,1202,0.4969
0,1203,1.0
10,1208,0.3725
4,1211,0.7354
14,1214,0.3019
4,1218,1.0
1,1219,0.5092
1,1220,0.6481
2,1229,0.4509
1,1232,0.9229
14,1235,0.0
2,1237,1.0
12,1239,0.7698
8,1241,1.0
13,1247,0.6571
12,1249,0.5135
7,1263,1.0
9,1279,0.0
8,1282,0.4252
4,1284,1.0
9,1288,0.0
12,1289,0.8229
10,1292,0.4931
7,1297,0.8312
3,1301,1.0
8,1302,1.0
13,1310,0.6976
3,1314,0.5042
12,1317,1.0
10,1335,0.8228
12,1339,0.2073
0,1341,1.0
