papers,dominant_topic
16,1
18,2
22,4
36,0
38,0
46,4
52,2
58,1
61,1
63,4
67,1
69,0
70,1
74,0
76,4
81,0
83,1
86,4
87,0
94,0
97,3
98,2
100,1
102,0
107,4
109,4
110,4
120,2
122,1
124,2
126,2
127,2
131,4
132,0
137,0
141,3
142,4
149,1
151,4
152,4
153,0
162,4
163,0
164,0
168,2
169,0
170,0
171,3
172,1
190,2
192,1
193,2
211,1
214,2
215,1
219,0
220,1
227,0
229,0
231,3
237,4
239,3
244,0
247,1
248,1
251,1
266,1
271,0
272,4
273,1
274,4
276,0
280,0
281,1
283,1
284,1
285,0
286,1
289,0
290,2
291,0
293,4
296,1
307,3
312,3
315,0
330,4
333,0
339,4
341,4
342,0
344,4
347,4
350,4
356,0
358,4
359,4
360,0
371,0
373,0
374,4
376,4
383,3
385,4
388,1
391,4
395,0
398,4
403,1
411,1
419,0
420,1
421,0
429,4
430,0
431,1
437,3
443,1
445,0
456,0
457,4
460,0
461,4
468,0
472,0
475,3
476,0
480,0
485,4
496,2
500,0
507,0
508,1
512,4
520,1
525,4
528,0
530,1
534,4
535,1
546,1
549,4
551,1
553,0
557,1
558,0
561,0
562,1
563,4
565,0
570,0
571,4
579,1
583,1
593,4
594,1
595,1
597,4
603,0
613,1
617,0
619,4
620,0
622,1
637,3
642,4
644,1
645,0
646,0
647,0
648,0
649,1
650,1
655,0
656,1
660,1
664,4
666,1
667,0
668,0
676,1
677,1
687,0
689,2
692,3
693,0
694,1
696,4
704,1
709,0
710,1
711,1
714,4
715,1
718,1
721,0
723,0
726,0
732,4
733,0
737,1
742,2
744,1
746,0
753,4
754,1
759,0
762,4
768,0
769,4
774,1
777,0
780,1
785,0
790,0
793,0
795,1
805,2
807,4
808,4
809,4
810,1
814,4
817,0
819,0
823,4
824,4
827,0
830,0
833,1
834,0
835,0
838,0
841,4
845,1
846,0
848,1
854,0
855,4
859,2
860,1
863,0
864,0
868,1
878,2
879,0
882,0
883,0
885,0
886,4
892,3
898,0
900,0
901,4
902,0
907,4
914,1
915,0
918,2
919,1
927,4
932,1
933,2
935,1
937,0
940,3
941,4
942,1
943,0
945,4
948,4
953,1
955,4
961,1
962,4
965,1
968,3
972,0
975,4
977,0
978,0
980,1
987,4
988,4
989,1
992,0
997,3
1000,4
1001,1
1003,0
1004,0
1005,0
1010,1
1024,4
1026,0
1031,1
1033,1
1036,1
1048,2
1050,1
1051,2
1052,1
1055,1
1060,4
1063,1
1076,0
1081,0
1082,3
1083,0
1084,1
1087,4
1089,1
1093,0
1097,0
1098,4
1100,1
1105,1
1107,1
1113,0
1119,4
1120,4
1123,4
1124,0
1128,4
1137,0
1141,0
1142,1
1145,0
1157,2
1161,4
1170,4
1171,0
1172,3
1177,0
1178,0
1181,3
1190,2
1197,2
1199,4
1202,4
1203,1
1208,0
1211,0
1214,0
1218,0
1219,4
1220,4
1229,3
1232,4
1235,0
1237,3
1239,4
1241,2
1247,2
1249,4
1263,1
1279,1
1282,2
1284,0
1288,1
1289,4
1292,0
1297,1
1301,0
1302,2
1310,2
1314,0
1317,4
1335,0
1339,4
1341,0
1343,1
1344,1
1345,0
1346,2
1355,0
1357,4
1358,0
1374,0
1381,1
1382,0
1384,2
1392,0
1405,1
1407,1
1410,0
1412,1
1421,1
1426,4
1431,0
1437,0
1440,4
1447,0
1452,1
1460,4
1462,1
1465,1
1466,0
1478,4
1482,1
1487,0
1496,3
1499,4
1501,1
1507,1
1512,4
1514,1
1516,1
1518,4
1521,1
1522,4
1523,4
1524,1
1526,0
1532,4
1536,0
1539,0
1542,1
1543,1
1552,1
1556,2
1563,4
1571,4
1584,0
1588,3
1591,1
1594,0
1599,0
1604,4
1614,2
1618,2
1621,4
1624,4
1629,0
1631,0
1632,4
1638,4
1655,0
1657,4
1668,0
1669,2
1703,0
1705,0
1717,4
1718,0
1719,3
1723,3
1724,0
1735,1
1759,2
1761,0
1765,0
1783,1
1788,0
1790,3
1792,0
1794,1
1800,1
1802,0
1817,1
1819,1
1821,0
1822,4
1826,0
1831,0
1837,1
1839,3
1840,2
1842,4
1854,0
1859,1
1870,4
1876,0
1879,0
1884,4
1885,2
1888,0
1898,0
1919,4
1922,1
1923,0
1926,1
1927,0
1943,4
1945,1
1947,0
1949,1
1961,1
1970,4
1973,2
1976,3
1982,0
1991,1
1994,0
2000,4
2003,2
2005,1
2010,0
2014,2
