|Topico 0|Topico 1|Topico 2|Topico 3|Topico 4|id|dominant_topic
0|0.0|1.0|0.0|0.0|0.0|16|1
1|0.55|0.0|0.45|0.0|0.0|18|2
2|0.0|0.0|1.0|0.0|0.0|22|4
3|1.0|0.0|0.0|0.0|0.0|36|0
4|1.0|0.0|0.0|0.0|0.0|38|0
5|0.0|0.0|0.1238|0.0|0.8762|46|4
6|0.0|0.0|1.0|0.0|0.0|52|2
7|0.0|0.0|0.0|0.0|1.0|58|1
8|0.3422|0.6578|0.0|0.0|0.0|61|1
9|0.0|0.0869|0.0|0.0|0.9131|63|4
10|0.0|0.0|0.0|0.0|0.0|67|1
11|0.4829|0.0|0.0|0.0|0.5171|69|0
12|0.0|0.0|0.0|0.0|0.0|70|1
13|0.0|1.0|0.0|0.0|0.0|74|0
14|0.0|0.0|0.0|0.0142|0.9858|76|4
15|1.0|0.0|0.0|0.0|0.0|81|0
16|0.0|0.0|0.0|0.0|0.0|83|1
17|0.2407|0.0|0.1462|0.0368|0.5763|86|4
18|0.0|0.0|0.0|0.0|0.0|87|0
19|0.1377|0.0|0.0|0.0|0.8623|94|0
20|0.0|0.0|0.0|0.6903|0.3097|97|3
21|0.2518|0.0|0.4129|0.0|0.3353|98|2
22|0.333|0.3364|0.2744|0.0562|0.0|100|1
23|0.3502|0.6498|0.0|0.0|0.0|102|0
24|0.0|1.0|0.0|0.0|0.0|107|4
25|0.0|0.0|0.0|0.0|1.0|109|4
26|0.3043|0.0|0.343|0.0|0.3527|110|4
27|0.0|0.0|1.0|0.0|0.0|120|2
28|0.0|1.0|0.0|0.0|0.0|122|1
29|0.2549|0.0|0.5732|0.0|0.1719|124|2
30|0.0|0.0|0.0|0.0|0.0|126|2
31|0.0|0.7606|0.0|0.2394|0.0|127|2
32|0.7547|0.0|0.2453|0.0|0.0|131|4
33|1.0|0.0|0.0|0.0|0.0|132|0
34|0.5888|0.1373|0.1871|0.0869|0.0|137|0
35|0.3626|0.104|0.0|0.5334|0.0|141|3
36|0.0|0.395|0.0|0.0|0.605|142|4
37|0.0|0.0|0.0|0.0|0.0|149|1
38|0.2316|0.0|0.0|0.0|0.7684|151|4
39|0.2164|0.0|0.1444|0.0882|0.551|152|4
