papers,dominant_topic
16,4
18,3
22,0
36,8
38,7
46,5
52,3
58,4
61,1
63,5
67,6
69,7
70,9
74,7
76,5
81,7
83,6
86,5
87,9
94,7
97,2
98,3
100,6
102,7
107,5
109,0
110,0
120,3
122,4
124,3
126,3
127,3
131,5
132,7
137,7
141,2
142,0
149,4
151,5
152,5
153,8
162,5
163,7
164,8
168,8
169,7
170,8
171,2
172,6
190,3
192,6
193,3
211,1
214,3
215,4
219,0
220,4
227,1
229,9
231,2
237,5
239,2
244,9
247,4
248,6
251,6
266,6
271,9
272,0
273,4
274,5
276,8
280,7
281,4
283,6
284,1
285,9
286,4
289,0
290,3
291,9
293,0
296,1
307,2
312,2
315,8
330,5
333,0
339,0
341,5
342,7
344,0
347,0
350,5
356,1
358,5
359,5
360,9
371,7
373,7
374,0
376,5
383,2
385,5
388,6
391,5
395,9
398,5
403,4
411,6
419,9
420,6
421,9
429,5
430,8
431,6
437,2
443,1
445,0
456,9
457,0
460,7
461,5
468,7
472,8
475,2
476,9
480,7
485,5
496,3
500,9
507,7
508,6
512,0
520,1
525,0
528,7
530,6
534,5
535,4
546,4
549,5
551,1
553,8
557,4
558,7
561,7
562,6
563,5
565,0
570,0
571,5
579,6
583,6
593,0
594,1
595,1
597,5
603,8
613,4
617,8
619,5
620,0
622,1
637,2
642,5
644,1
645,9
646,9
647,9
648,7
649,4
650,4
655,9
656,4
660,4
664,5
666,1
667,8
668,7
676,1
677,4
687,9
689,3
692,2
693,7
694,9
696,0
704,6
709,9
710,4
711,1
714,0
715,6
718,4
721,9
723,0
726,7
732,0
733,8
737,1
742,3
744,1
746,9
753,5
754,4
759,7
762,5
768,9
769,5
774,6
777,9
780,1
785,8
790,7
793,9
795,6
805,3
807,5
808,5
809,5
810,4
814,5
817,9
819,8
823,5
824,5
827,9
830,7
833,4
834,0
835,0
838,9
841,5
845,6
846,8
848,4
854,0
855,0
859,3
860,1
863,0
864,7
868,1
878,3
879,9
882,1
883,8
885,8
886,5
892,2
898,8
900,9
901,5
902,9
907,0
914,4
915,1
918,3
919,4
927,0
932,1
933,3
935,6
937,0
940,2
941,5
942,6
943,8
945,5
948,5
953,6
955,5
961,6
962,5
965,6
968,2
972,9
975,0
977,7
978,7
980,1
987,5
988,5
989,9
992,7
997,2
1000,5
1001,1
1003,8
1004,7
1005,7
1010,6
1024,5
1026,7
1031,1
1033,1
1036,1
1048,3
1050,6
1051,3
1052,1
1055,1
1060,8
1063,1
1076,7
1081,9
1082,2
1083,9
1084,4
1087,0
1089,4
1093,7
1097,0
1098,5
1100,4
1105,1
1107,4
1113,8
1119,0
1120,5
1123,5
1124,7
1128,5
1137,9
1141,9
1142,6
1145,8
1157,3
1161,5
1170,5
1171,9
1172,2
1177,9
1178,7
1181,6
1190,3
1197,3
1199,5
1202,5
1203,6
1208,7
1211,1
1214,8
1218,7
1219,5
1220,5
1229,2
1232,5
1235,9
1237,2
1239,5
1241,3
1247,3
1249,5
1263,4
1279,6
1282,3
1284,7
1288,1
1289,5
1292,9
1297,4
1301,8
1302,3
1310,3
1314,8
1317,3
1335,7
1339,5
1341,9
1343,4
1344,6
1345,9
1346,3
1355,7
1357,5
1358,9
1374,7
1381,1
1382,9
1384,3
1392,9
1405,6
1407,6
1410,8
1412,4
1421,6
1426,0
1431,7
1437,8
1440,5
1447,9
1452,6
1460,0
1462,4
1465,4
1466,7
1478,5
1482,6
1487,7
1496,2
1499,0
1501,6
1507,6
1512,0
1514,1
1516,6
1518,5
1521,4
1522,5
1523,5
1524,4
1526,9
1532,5
1536,0
1539,7
1542,6
1543,6
1552,6
1556,3
1563,0
1571,5
1584,0
1588,2
1591,6
1594,9
1599,8
1604,5
1614,3
1618,3
1621,0
1624,5
1629,7
1631,8
1632,5
1638,5
1655,0
1657,5
1668,8
1669,3
1703,9
