|Topico 0|Topico 1|Topico 2|Topico 3|Topico 4|Topico 5|Topico 6|Topico 7|Topico 8|Topico 9|id|dominant_topic
0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|16|5
1|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|18|6
2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|22|9
3|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|36|8
4|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|38|4
5|0.0|0.5338|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.4662|46|9
6|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|52|6
7|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|58|5
8|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|61|3
9|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|63|1
10|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|67|0
11|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|69|4
12|0.0|0.0|0.7453|0.0|0.0|0.0|0.0|0.2547|0.0|0.0|70|2
13|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|74|4
14|0.0|0.4458|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5542|76|9
15|0.0|0.0|0.486|0.514|0.0|0.0|0.0|0.0|0.0|0.0|81|2
16|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|83|0
17|0.0|0.0|0.5279|0.0|0.0|0.0|0.0|0.4721|0.0|0.0|86|9
18|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|87|2
19|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|94|4
20|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|97|7
21|0.0|0.0|0.0|0.0|0.0|0.0|0.5311|0.0|0.3526|0.1163|98|6
22|0.9008|0.0|0.0992|0.0|0.0|0.0|0.0|0.0|0.0|0.0|100|0
23|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|102|4
24|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|107|9
25|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|109|9
26|0.0|0.0|0.0|0.0|0.0|0.0|0.317|0.0|0.0|0.683|110|9
27|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|120|6
28|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|122|5
29|0.0|0.0|0.0|0.0|0.0|0.0|0.6963|0.0|0.2367|0.067|124|6
30|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|126|6
31|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|127|6
32|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|131|8
33|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|132|4
34|0.1645|0.0|0.4979|0.1639|0.0|0.1737|0.0|0.0|0.0|0.0|137|4
35|0.1567|0.0|0.0|0.0|0.0|0.0|0.0|0.8433|0.0|0.0|141|7
36|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|142|9
37|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|149|5
38|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|151|9
39|0.0|0.8504|0.0|0.0|0.0|0.0|0.0|0.1496|0.0|0.0|152|1
40|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|153|8
41|0.0|0.7632|0.1059|0.0|0.0|0.0|0.0|0.1309|0.0|0.0|162|1
42|0.131|0.0|0.0|0.0|0.5509|0.318|0.0|0.0|0.0|0.0|163|4
43|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|164|8
44|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3759|0.6241|0.0|168|8
45|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|169|3
46|0.0|0.229|0.0|0.0|0.0|0.0|0.771|0.0|0.0|0.0|170|8
47|0.0|0.1228|0.0|0.0|0.0|0.0|0.0|0.8772|0.0|0.0|171|7
48|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|172|0
49|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|190|6
50|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|192|0
51|0.0|0.0|0.0|0.0635|0.0566|0.0|0.8078|0.072|0.0|0.0|193|6
52|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|211|5
53|0.0|0.0|0.0|0.0|0.0|0.0|0.8979|0.0|0.0|0.1021|214|6
54|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|215|5
55|0.0|0.1575|0.0|0.0|0.0|0.5058|0.0|0.1797|0.0|0.1569|219|9
56|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|220|5
57|0.0|0.0|0.0|0.8951|0.0|0.0|0.0|0.0|0.1049|0.0|227|3
58|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|229|2
59|0.1449|0.0|0.0|0.0|0.0|0.0|0.0532|0.8019|0.0|0.0|231|7
60|0.6745|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3255|237|9
61|0.0449|0.1947|0.0|0.0|0.0|0.0|0.0|0.6689|0.0|0.0914|239|7
62|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|244|2
63|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|247|5
64|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|248|0
65|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|251|0
66|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|266|0
67|0.0|0.0|0.7548|0.0|0.0|0.0|0.0|0.2452|0.0|0.0|271|2
68|0.0|0.0|0.0934|0.0|0.0|0.0|0.3009|0.0|0.0|0.6058|272|9
69|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|273|5
70|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|274|9
71|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|276|8
72|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|280|4
73|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|281|5
74|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|283|0
75|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|284|5
76|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|285|2
77|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|286|5
78|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|289|4
79|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|290|6
80|0.0|0.0|0.8919|0.0|0.0|0.0|0.1081|0.0|0.0|0.0|291|2
81|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|293|9
82|0.2714|0.0|0.0|0.268|0.2083|0.2523|0.0|0.0|0.0|0.0|296|3
83|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|307|7
84|0.0|0.1764|0.0|0.0|0.0|0.0|0.0|0.8236|0.0|0.0|312|7
85|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|315|8
86|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|330|9
87|0.0|0.0|0.0|0.0|0.6383|0.0|0.258|0.0|0.1038|0.0|333|4
88|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|339|9
89|0.0|0.1494|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.8506|341|9
90|0.0|0.0|0.0|0.7652|0.0|0.2348|0.0|0.0|0.0|0.0|342|3
91|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|344|9
92|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2827|0.0|0.7173|347|9
93|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|350|9
94|0.0507|0.0|0.1648|0.7263|0.0|0.0581|0.0|0.0|0.0|0.0|356|3
95|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|358|1
96|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|359|1
97|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|360|2
98|0.0|0.3353|0.0|0.6647|0.0|0.0|0.0|0.0|0.0|0.0|371|4
99|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|373|4
100|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|374|9
101|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|376|9
102|0.0|0.3339|0.0|0.0|0.0|0.0|0.0|0.5322|0.0|0.134|383|7
103|0.0|0.2145|0.0|0.0|0.0|0.0|0.2064|0.0|0.0|0.5791|385|9
104|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|388|0
105|0.0|0.4368|0.0|0.0|0.0|0.0|0.0|0.5632|0.0|0.0|391|1
106|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|395|2
107|0.0|0.3388|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.6612|398|9
108|0.0|0.0|0.0|0.0|0.0|0.525|0.0|0.475|0.0|0.0|403|5
109|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|411|0
110|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|419|2
111|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|420|5
112|0.0|0.0|0.8053|0.0|0.0|0.0|0.0|0.1947|0.0|0.0|421|2
113|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|429|9
114|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|430|8
115|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|431|0
116|0.0|0.131|0.0597|0.0|0.0|0.0|0.0|0.8093|0.0|0.0|437|7
117|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|443|3
118|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|445|4
119|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|456|2
120|0.0|0.5368|0.0|0.0|0.0|0.0|0.0|0.4632|0.0|0.0|457|9
121|0.0|0.0|0.0952|0.0|0.0952|0.7135|0.0|0.096|0.0|0.0|460|4
122|0.0|0.7313|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2687|461|1
123|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|468|4
124|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|472|8
125|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|475|7
126|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|476|4
127|0.0|0.0|0.3449|0.3201|0.1563|0.1787|0.0|0.0|0.0|0.0|480|4
128|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|485|9
129|0.0|0.0|0.0758|0.0|0.0|0.0|0.9242|0.0|0.0|0.0|496|6
130|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|500|2
131|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|507|4
132|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|508|0
133|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|512|9
134|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|520|0
135|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|525|9
136|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|528|4
137|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|530|0
138|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|534|1
139|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|535|5
140|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|546|5
141|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|549|9
