|Topico 0|Topico 1|Topico 2|Topico 3|Topico 4|Topico 5|Topico 6|Topico 7|Topico 8|Topico 9|id|dominant_topic
0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|16|2
1|0.1616|0.0|0.0|0.0|0.3343|0.0|0.0|0.3271|0.0|0.177|18|7
2|0.6884|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3116|0.0|22|0
3|0.0|0.0|0.0|0.0|0.6747|0.0|0.0|0.0|0.0|0.3253|36|4
4|0.0|0.0|0.0|0.0|0.4259|0.0|0.0|0.0|0.0|0.5741|38|9
5|0.4197|0.0|0.0|0.5803|0.0|0.0|0.0|0.0|0.0|0.0|46|3
6|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|52|8
7|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|58|2
8|0.0|0.7518|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2482|61|1
9|0.1175|0.0|0.0|0.6503|0.0|0.0|0.1834|0.0|0.0|0.0488|63|3
10|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|67|6
11|0.4738|0.0|0.0|0.0|0.1198|0.0|0.0|0.0|0.0|0.4064|69|9
12|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|70|6
13|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|74|9
14|0.4422|0.0|0.0|0.5578|0.0|0.0|0.0|0.0|0.0|0.0|76|3
15|0.0|0.0|0.0|0.0|0.4746|0.0|0.0|0.0|0.0|0.5254|81|9
16|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|83|6
17|0.2648|0.0|0.0|0.3019|0.1751|0.0|0.0|0.032|0.1673|0.059|86|3
18|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|87|4
19|0.0|0.0|0.0|0.7464|0.0|0.0|0.0|0.0|0.0|0.2536|94|9
20|0.2676|0.0|0.0|0.0|0.0605|0.6719|0.0|0.0|0.0|0.0|97|5
21|0.1901|0.0|0.0|0.1784|0.2513|0.0|0.0|0.3015|0.0|0.0787|98|7
22|0.0|0.0|0.0552|0.0|0.2544|0.0|0.321|0.0533|0.2573|0.0588|100|2
23|0.0|0.0|0.533|0.0|0.0|0.0|0.0|0.0|0.0|0.467|102|9
24|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|107|0
25|0.756|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.244|109|0
26|0.4257|0.0|0.0|0.0|0.0|0.0|0.0|0.2665|0.0|0.3079|110|0
27|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|120|7
28|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|122|2
29|0.1264|0.0|0.0|0.0|0.1709|0.0|0.0|0.283|0.3201|0.0996|124|7
30|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|126|7
31|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|127|7
32|0.174|0.0|0.0|0.0|0.826|0.0|0.0|0.0|0.0|0.0|131|0
33|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|132|9
34|0.1152|0.0984|0.0355|0.0|0.3455|0.0692|0.0817|0.124|0.0|0.1307|137|9
35|0.0|0.0|0.0|0.0|0.2668|0.4343|0.182|0.0|0.0|0.1169|141|5
36|0.5042|0.0|0.0|0.0|0.0|0.0|0.4958|0.0|0.0|0.0|142|0
37|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|149|2
38|0.3809|0.0|0.0|0.3344|0.2192|0.0|0.0|0.0|0.0|0.0655|151|0
39|0.1308|0.0|0.0|0.49|0.0|0.0733|0.0|0.1147|0.0|0.1912|152|3
40|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|153|4
41|0.082|0.0|0.0|0.6915|0.0589|0.1676|0.0|0.0|0.0|0.0|162|3
42|0.0|0.2059|0.1873|0.0|0.0742|0.0|0.2158|0.0|0.0|0.3168|163|9
43|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|164|4
44|0.0|0.0|0.0|0.0|0.6243|0.1872|0.1885|0.0|0.0|0.0|168|4
45|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|169|9
46|0.0|0.1029|0.0|0.1074|0.2069|0.0|0.0|0.1981|0.3847|0.0|170|4
47|0.0|0.0|0.0|0.1527|0.0|0.7779|0.0|0.0|0.0694|0.0|171|5
48|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|172|6
49|0.0|0.0|0.0|0.0|0.0437|0.0423|0.2021|0.0471|0.5731|0.0917|190|8
50|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|192|6
51|0.0314|0.0677|0.0268|0.0|0.0255|0.0958|0.0|0.5469|0.033|0.1729|193|7
52|0.0|0.4103|0.2482|0.0|0.0|0.0|0.0|0.0|0.0|0.3415|211|1
53|0.3265|0.0|0.0|0.0|0.0|0.0|0.0|0.6735|0.0|0.0|214|7
54|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|215|2
55|0.1546|0.0333|0.1743|0.0947|0.2527|0.0266|0.0|0.0283|0.0|0.2355|219|0
56|0.0|0.1741|0.5173|0.0|0.0|0.0|0.166|0.0|0.0|0.1426|220|2
57|0.1057|0.3416|0.0|0.2136|0.3391|0.0|0.0|0.0|0.0|0.0|227|1
58|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|229|4
59|0.0|0.0341|0.0242|0.0|0.0|0.5061|0.1925|0.0|0.2431|0.0|231|5
60|0.3497|0.0|0.0|0.3959|0.0|0.0|0.2544|0.0|0.0|0.0|237|0
61|0.0947|0.0|0.0|0.165|0.0|0.505|0.1791|0.0562|0.0|0.0|239|5
62|0.0|0.0|0.0|0.0|0.8689|0.0|0.0658|0.0|0.0652|0.0|244|4
63|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|247|2
64|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|248|6
65|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|251|6
66|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|266|6
67|0.0|0.0|0.0|0.0|0.3962|0.0441|0.0|0.0909|0.2788|0.1901|271|4
68|0.3552|0.0|0.0|0.0302|0.0712|0.0|0.0|0.2284|0.1235|0.1915|272|0
69|0.0|0.2394|0.5711|0.0|0.0|0.0|0.0|0.0|0.0|0.1895|273|2
70|0.1858|0.0|0.0|0.7021|0.0|0.0|0.0|0.112|0.0|0.0|274|0
71|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|276|4
72|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|280|9
73|0.0|0.0|0.0|0.0|0.0|0.736|0.0|0.0|0.0|0.264|281|2
74|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|283|6
75|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|284|1
76|0.0|0.0|0.0|0.0|0.5489|0.0|0.0|0.4511|0.0|0.0|285|4
77|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|286|2
78|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|289|9
79|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3351|0.6649|0.0|290|7
80|0.0|0.0|0.2387|0.0|0.4225|0.0|0.0|0.0678|0.2055|0.0655|291|4
81|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|293|0
82|0.0|0.4397|0.1637|0.0|0.0|0.0|0.155|0.0|0.0|0.2416|296|1
83|0.2412|0.0|0.0|0.0|0.0|0.7147|0.0|0.0|0.0|0.0441|307|5
84|0.0764|0.0|0.0509|0.1471|0.0564|0.4619|0.0351|0.0245|0.1476|0.0|312|5
85|0.1274|0.0|0.0|0.0|0.4045|0.0|0.0|0.1852|0.2829|0.0|315|4
86|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|330|0
