papers,dominant_topic
16,14
18,6
22,13
36,10
38,11
46,13
52,2
58,1
61,7
63,4
67,3
69,11
70,12
74,11
76,13
81,9
83,1
86,13
87,12
94,11
97,5
98,6
100,1
102,11
107,13
109,13
110,13
120,6
122,14
124,6
126,6
127,6
131,0
132,9
137,9
141,5
142,13
149,1
151,13
152,4
153,10
162,4
163,9
164,10
168,0
169,7
170,10
171,5
172,3
190,2
192,1
193,6
211,3
214,6
215,14
219,0
220,14
227,7
229,12
231,5
237,13
239,5
244,9
247,14
248,1
251,1
266,3
271,12
272,13
273,14
274,13
276,10
280,9
281,14
283,1
284,3
285,12
286,1
289,9
290,6
291,12
293,0
296,7
307,5
312,5
315,10
330,13
333,9
339,13
341,13
342,7
344,13
347,0
350,13
356,7
358,4
359,4
360,12
371,11
373,11
374,0
376,13
383,5
385,13
388,3
391,4
395,12
398,13
403,14
411,1
419,12
420,1
421,12
429,13
430,0
431,1
437,5
443,7
445,9
456,12
457,0
460,11
461,4
468,11
472,0
475,5
476,9
480,11
485,13
496,6
500,12
507,9
508,1
512,0
520,3
525,0
528,11
530,1
534,4
535,14
546,14
549,13
551,7
553,10
557,14
558,7
561,7
562,1
563,4
565,9
570,9
571,4
579,3
583,3
593,13
594,7
595,3
597,4
603,10
613,14
617,0
619,13
620,11
622,3
637,5
642,13
644,3
645,9
646,12
647,9
648,11
649,14
650,14
655,9
656,14
660,1
664,4
666,3
667,0
668,7
676,3
677,14
687,9
689,6
692,5
693,11
694,1
696,0
704,1
709,12
710,14
711,3
714,13
715,1
718,14
721,12
723,0
726,11
732,13
733,9
737,3
742,6
744,3
746,9
753,4
754,14
759,11
762,4
768,12
769,13
774,3
777,9
780,3
785,10
790,11
793,9
795,1
805,2
807,4
808,4
809,13
810,14
814,13
817,12
819,10
823,4
824,13
827,9
830,9
833,14
834,9
835,0
838,12
841,13
845,1
846,9
848,1
854,9
855,0
859,6
860,7
863,0
864,9
868,3
878,2
879,9
882,7
883,10
885,10
886,13
892,5
898,10
900,12
901,4
902,9
907,13
914,14
915,7
918,2
919,14
927,0
932,3
933,6
935,1
937,9
940,5
941,4
942,1
943,10
945,13
948,13
953,1
955,4
961,1
962,13
965,1
968,5
972,9
975,0
977,9
978,7
980,7
987,4
988,13
989,1
992,9
997,5
1000,4
1001,7
1003,0
1004,7
1005,11
1010,3
1024,4
1026,11
1031,3
1033,7
1036,7
1048,6
1050,1
1051,2
1052,3
1055,7
1060,0
1063,7
1076,11
1081,12
1082,5
1083,9
1084,14
1087,13
1089,1
1093,7
1097,9
1098,13
1100,14
1105,3
1107,14
1113,9
1119,13
1120,4
1123,4
1124,9
1128,13
1137,9
1141,9
1142,1
1145,10
1157,6
1161,4
1170,4
1171,9
1172,5
1177,9
1178,11
1181,8
1190,6
1197,6
1199,4
1202,13
1203,1
1208,9
1211,7
1214,9
1218,7
1219,4
1220,4
1229,5
1232,4
1235,12
1237,5
1239,13
1241,6
1247,2
1249,13
1263,14
1279,1
1282,6
1284,9
1288,3
1289,13
1292,9
1297,14
1301,10
1302,6
1310,2
1314,0
1317,13
1335,11
1339,13
1341,9
1343,14
1344,3
1345,9
1346,6
1355,11
1357,13
1358,12
1374,9
1381,3
1382,9
1384,6
1392,9
1405,1
1407,1
1410,10
1412,14
1421,1
1426,0
1431,11
1437,9
1440,13
1447,12
1452,3
1460,13
1462,14
1465,14
1466,11
1478,4
1482,1
1487,9
1496,5
1499,13
1501,1
1507,1
1512,0
1514,7
1516,1
1518,13
1521,14
1522,13
1523,4
1524,14
1526,12
1532,13
1536,11
1539,11
1542,1
1543,1
1552,3
1556,6
1563,0
1571,4
1584,9
1588,5
1591,1
1594,12
1599,10
1604,4
1614,6
1618,6
1621,13
1624,13
1629,7
1631,0
1632,4
1638,4
1655,0
1657,4
1668,10
1669,6
1703,9
1705,7
1717,13
1718,7
1719,5
1723,8
1724,11
1735,1
1759,6
1761,12
1765,11
1783,7
1788,11
1790,5
1792,11
1794,14
1800,3
1802,9
1817,14
1819,1
1821,11
1822,13
1826,11
1831,11
1837,1
1839,8
1840,6
1842,13
1854,11
1859,1
1870,13
1876,11
1879,11
1884,13
1885,6
1888,11
1898,12
1919,4
1922,3
1923,9
1926,7
1927,0
1943,4
1945,3
1947,11
1949,3
1961,1
1970,13
1973,2
1976,5
1982,0
1991,1
1994,10
2000,13
2003,6
2005,14
2010,12
2014,6
2023,5
2030,5
2034,10
2039,7
2046,14
2047,6
2051,12
2053,7
2054,1
2057,0
2058,14
2060,14
2063,13
2064,1
2069,1
2070,10
2072,1
2073,3
2074,6
2078,13
2080,0
2085,14
2099,14
2112,3
2115,4
2124,4
2125,13
2126,4
2128,1
2129,13
2131,5
2132,5
2133,5
2138,4
2142,3
2143,7
2154,1
2159,10
2167,14
2183,1
2184,4
2188,11
2191,1
2192,7
2193,6
2195,12
2201,0
2203,12
2204,8
2206,7
2213,11
2216,10
2220,13
2224,7
2225,1
2226,12
2231,11
2239,7
2243,9
2244,4
2250,11
2257,6
2259,5
2262,12
2269,7
2270,9
2274,13
2280,9
2282,10
2283,6
2284,10
2288,5
2289,7
2296,9
2297,1
2298,13
2299,9
2307,9
2308,14
2309,1
2312,1
2321,9
2324,14
2327,10
2328,13
2335,10
2338,0
2342,0
2343,9
2347,4
2348,9
2351,12
2353,3
2355,14
2357,7
2359,0
2360,1
2363,9
2369,4
2373,12
2386,6
2388,9
2399,2
2401,9
2402,11
2403,4
2406,3
2416,6
2419,0
2425,11
2426,10
2434,6
2436,4
2438,11
2441,3
2442,4
2446,0
2450,10
2459,5
2460,1
2462,4
2466,13
2469,4
2471,9
2483,13
2484,0
2485,13
2487,11
2490,14
2494,9
2496,0
2497,2
2502,12
2505,3
2507,4
2509,11
2514,1
2515,9
2521,14
2522,7
2525,6
2528,3
2531,13
2532,3
2538,9
2540,1
2543,0
2545,0
2551,12
2556,10
2563,13
2566,9
2568,13
2573,7
2581,4
2584,6
2585,6
2587,0
2588,13
2589,9
2593,7
2604,12
2605,1
2611,2
2616,6
2617,4
2620,10
2623,14
2631,13
2634,0
2639,6
2644,5
2645,7
2651,3
2654,14
2661,6
2662,6
2666,9
2667,13
2673,5
2675,11
2676,6
2678,5
2680,1
2688,7
2695,13
2696,3
2706,9
2708,6
2711,4
2713,1
2716,0
2723,12
2726,1
2728,9
2731,10
2733,6
2734,12
2736,12
2748,6
2750,3
2755,9
2757,7
2761,1
2776,14
2782,12
2783,7
2784,13
2793,6
2802,5
2809,14
2810,5
2817,9
2819,10
2820,13
2823,3
2835,6
2843,1
2850,9
2851,14
2853,10
2855,0
2857,4
2858,10
2860,10
2861,6
2869,1
2871,12
2875,0
2880,13
2885,3
2888,1
2890,13
2892,4
2895,4
2896,11
2900,6
2902,10
2912,14
2915,10
2918,9
2921,14
2926,9
2928,9
2931,3
2932,6
2934,3
2935,9
2943,3
2948,11
2949,12
2952,11
2954,3
2955,0
2957,11
2960,1
2969,13
2981,1
2989,9
2990,2
2992,4
2993,11
2994,6
3004,9
3005,6
3006,10
3007,11
3011,7
3012,12
3013,13
3014,6
3019,0
3020,11
3022,4
3023,12
3025,12
3028,4
3029,9
3036,4
3037,3
3059,5
3062,14
3064,4
3069,4
3074,9
3076,1
3078,1
3084,13
3086,13
3087,1
3090,13
3091,14
3093,5
3098,1
3101,13
3102,6
3108,7
3112,13
3114,5
3117,6
3119,13
3125,3
3127,7
3140,7
3145,9
3146,7
3150,3
3152,5
3160,4
3163,14
3165,6
3166,1
3170,4
3173,5
3175,1
3176,7
3181,10
3182,1
3187,7
3191,11
3198,14
3202,6
3203,10
3204,13
3205,9
3209,11
3210,9
3216,4
3218,9
3222,5
3224,0
3227,6
3228,6
3229,10
3237,2
3238,4
3239,11
3243,3
3250,4
3251,6
3252,13
3253,13
3261,4
3263,13
3264,13
3266,14
3269,0
3270,11
3273,7
3274,7
3276,6
3280,9
3284,11
3285,10
3290,10
3293,1
3298,9
3299,5
3300,3
3307,7
3309,10
3310,5
3313,7
3314,0
3316,2
3319,11
3320,5
3321,1
3323,5
3327,10
3328,6
3333,12
3334,7
3346,2
3347,5
3348,0
3349,2
3350,14
3352,4
3354,1
3357,10
3361,0
3362,3
3364,3
3365,1
3369,11
3370,7
3372,13
3374,1
3375,10
3378,9
3383,13
3388,10
3393,1
3394,2
3395,6
3396,14
3399,11
3400,4
3404,3
3407,9
3409,9
3413,0
3414,14
3415,4
3418,10
3425,1
3426,7
3427,4
3429,13
3430,9
3433,9
3439,9
3443,5
3444,13
3445,1
3447,6
3448,4
3453,1
3454,7
3462,0
3464,7
3494,9
3498,13
3501,5
3506,1
3507,7
3511,5
3520,1
3532,13
3533,9
3539,5
3541,5
3544,4
3545,6
3546,1
3550,3
3552,1
3554,6
3556,1
3560,13
3561,1
3564,7
3570,9
3573,12
3575,0
3580,11
3582,12
3589,9
3590,11
3597,6
3601,1
3604,12
3608,13
3611,7
3613,12
3630,4
3633,10
3636,4
3641,9
3643,7
3651,4
3652,4
3654,7
3660,4
3667,9
3668,2
3669,1
3678,13
3685,1
3688,12
3693,10
3695,3
3699,10
3708,5
3715,10
3717,4
3725,10
3729,13
3733,13
3737,11
3739,14
3741,1
3746,13
3748,4
3752,0
3757,9
3758,12
3759,4
3761,9
3770,1
3771,1
3790,13
3793,9
3798,13
3808,9
3810,13
3819,0
3820,10
3821,6
3824,11
3833,14
3834,9
3842,6
3843,3
3850,10
3852,11
3856,9
3858,13
3870,1
3875,14
3878,1
3883,9
3886,9
3891,7
3910,10
3913,0
3916,14
3926,0
3931,13
3934,8
3938,1
3941,1
3943,12
3947,4
3955,9
3957,4
3964,7
3968,0
3969,7
3971,13
3977,1
3984,11
3985,7
3996,3
4005,0
4012,7
4026,1
4031,14
4035,14
4041,2
4042,8
4047,13
4049,7
4052,1
4057,4
4061,10
4067,6
4070,13
4072,1
4073,9
4077,5
4086,9
4089,11
4096,7
4101,9
4102,6
4107,7
4109,10
4128,13
4129,13
4131,1
