dominant_topic,document_id,document_score
1,16,1.0
2,18,0.55
4,22,1.0
0,36,1.0
0,38,1.0
4,46,0.8762
2,52,1.0
1,58,1.0
1,61,0.6578
4,63,0.9131
1,67,0.0
0,69,0.5171
1,70,0.0
0,74,1.0
4,76,0.9858
0,81,1.0
1,83,0.0
4,86,0.5763
0,87,0.0
0,94,0.8623
3,97,0.6903
2,98,0.4129
1,100,0.3364
0,102,0.6498
4,107,1.0
4,109,1.0
4,110,0.3527
2,120,1.0
1,122,1.0
2,124,0.5732
2,126,0.0
2,127,0.7606
4,131,0.7547
0,132,1.0
0,137,0.5888
3,141,0.5334
4,142,0.605
1,149,0.0
4,151,0.7684
4,152,0.551
0,153,1.0
4,162,0.7613
0,163,0.5032
0,164,1.0
2,168,1.0
0,169,0.0
0,170,0.733
3,171,1.0
1,172,0.0
2,190,0.5375
1,192,0.0
2,193,0.6242
1,211,0.6034
2,214,0.7455
1,215,1.0
0,219,0.5632
1,220,1.0
0,227,0.5118
0,229,0.0
3,231,0.6736
4,237,1.0
3,239,0.5408
0,244,1.0
1,247,0.0
1,248,1.0
1,251,1.0
1,266,0.0
0,271,0.516
4,272,0.3511
1,273,0.7544
4,274,0.8825
0,276,0.0
0,280,1.0
1,281,0.7502
1,283,1.0
1,284,1.0
0,285,0.5304
1,286,1.0
0,289,1.0
2,290,1.0
0,291,0.482
4,293,0.0
1,296,0.6634
3,307,0.7117
3,312,0.5817
0,315,0.4289
4,330,0.0
0,333,0.5318
4,339,1.0
4,341,0.8387
0,342,0.7451
4,344,0.5251
4,347,0.6121
4,350,1.0
0,356,0.6083
4,358,1.0
4,359,1.0
0,360,0.0
0,371,0.6496
0,373,1.0
4,374,1.0
4,376,1.0
3,383,0.4305
4,385,0.6506
1,388,0.0
4,391,0.5269
0,395,0.0
4,398,0.8158
1,403,0.5069
1,411,0.5485
0,419,1.0
1,420,0.0
0,421,1.0
4,429,0.8361
0,430,1.0
1,431,1.0
3,437,0.5763
1,443,0.0
0,445,1.0
0,456,1.0
4,457,0.4973
0,460,0.3993
4,461,0.9004
0,468,1.0
0,472,0.0
3,475,1.0
0,476,0.0
0,480,0.447
4,485,0.0
2,496,0.8763
0,500,1.0
0,507,0.5279
1,508,0.3672
4,512,0.0
1,520,1.0
4,525,1.0
0,528,0.7113
1,530,0.0
4,534,1.0
1,535,1.0
1,546,1.0
4,549,0.0
1,551,0.7873
0,553,0.0
1,557,0.9286
0,558,1.0
0,561,0.0
1,562,1.0
4,563,0.4861
0,565,0.3998
0,570,1.0
4,571,1.0
1,579,0.0
1,583,0.7551
4,593,1.0
1,594,1.0
1,595,1.0
4,597,0.7956
0,603,1.0
1,613,1.0
0,617,0.0
4,619,0.7768
0,620,0.5214
1,622,1.0
3,637,0.6122
4,642,0.5439
1,644,1.0
0,645,0.0
0,646,0.607
0,647,0.5274
0,648,1.0
1,649,0.0
1,650,0.2954
0,655,1.0
1,656,1.0
1,660,1.0
4,664,0.5371
1,666,1.0
0,667,0.5002
0,668,0.4995
1,676,0.6527
1,677,0.0
0,687,0.4643
2,689,1.0
3,692,1.0
0,693,0.0
1,694,1.0
4,696,0.3569
1,704,1.0
0,709,0.4228
1,710,1.0
1,711,0.7004
4,714,0.6902
1,715,0.7508
1,718,1.0
0,721,0.7764
0,723,0.5531
0,726,0.5406
4,732,0.7592
0,733,0.4173
1,737,1.0
2,742,0.825
1,744,1.0
0,746,1.0
4,753,0.4377
1,754,0.0
0,759,0.0
4,762,1.0
0,768,0.0
4,769,0.8616
1,774,0.7067
0,777,1.0
1,780,0.7274
0,785,1.0
0,790,1.0
0,793,1.0
1,795,0.3169
2,805,0.581
4,807,0.0
4,808,0.5142
4,809,1.0
1,810,0.5851
4,814,1.0
0,817,1.0
0,819,0.4498
4,823,0.4057
4,824,1.0
0,827,0.79
0,830,0.718
1,833,0.3522
0,834,0.5002
0,835,1.0
0,838,0.3424
4,841,1.0
1,845,0.7508
0,846,0.4582
1,848,1.0
0,854,0.7002
4,855,1.0
2,859,1.0
1,860,1.0
0,863,0.0
0,864,0.6936
1,868,1.0
2,878,0.7521
0,879,0.8796
0,882,1.0
0,883,0.0
0,885,1.0
4,886,1.0
3,892,0.8204
0,898,1.0
0,900,0.0
4,901,0.4618
0,902,0.3512
4,907,0.4266
1,914,0.5891
0,915,0.6326
2,918,0.0
1,919,0.3548
4,927,0.5068
1,932,1.0
2,933,1.0
1,935,0.4336
0,937,0.4818
3,940,0.5359
4,941,0.6577
1,942,0.0
0,943,0.5935
4,945,0.7134
4,948,0.5436
1,953,0.3438
4,955,0.7101
1,961,1.0
4,962,0.0
1,965,0.0
3,968,0.4599
0,972,0.5673
4,975,0.5217
0,977,0.2992
0,978,0.6739
1,980,0.0
4,987,0.2952
4,988,0.6592
1,989,0.0
0,992,1.0
3,997,0.689
4,1000,0.5165
1,1001,1.0
0,1003,1.0
0,1004,0.5259
0,1005,0.8852
1,1010,0.7067
4,1024,0.5473
0,1026,1.0
1,1031,1.0
1,1033,0.0
1,1036,1.0
2,1048,1.0
1,1050,0.0
2,1051,1.0
1,1052,0.6377
1,1055,0.537
4,1060,0.5557
1,1063,1.0
0,1076,1.0
0,1081,1.0
3,1082,0.9266
