papers,dominant_topic
16,1
18,6
22,0
36,5
38,7
46,0
52,4
58,1
61,2
63,0
67,9
69,7
70,8
74,7
76,0
81,8
83,9
86,0
87,8
94,7
97,4
98,6
100,9
102,7
107,0
109,0
110,0
120,6
122,1
124,6
126,6
127,6
131,0
132,7
137,7
141,4
142,0
149,1
151,0
152,0
153,5
162,0
163,7
164,5
168,5
169,2
170,5
171,4
172,9
190,4
192,9
193,6
211,2
214,6
215,1
219,7
220,1
227,2
229,8
231,4
237,0
239,4
244,8
247,1
248,9
251,9
266,9
271,8
272,0
273,1
274,0
276,5
280,7
281,1
283,9
284,2
285,8
286,1
289,7
290,6
291,8
293,0
296,2
307,4
312,4
315,5
330,0
333,7
339,0
341,0
342,2
344,0
347,0
350,0
356,2
358,0
359,0
360,8
371,7
373,7
374,0
376,0
383,4
385,0
388,9
391,0
395,8
398,0
403,1
411,9
419,8
420,1
421,8
429,0
430,8
431,9
437,4
443,2
445,7
456,8
457,0
460,7
461,0
468,7
472,5
475,4
476,8
480,7
485,0
496,6
500,8
507,7
508,9
512,0
520,9
525,0
528,7
530,9
534,0
535,1
546,1
549,0
551,2
553,5
557,1
558,2
561,2
562,9
563,0
565,7
570,7
571,0
579,9
583,9
593,0
594,2
595,9
597,0
603,5
613,1
617,7
619,0
620,7
622,2
637,4
642,0
644,2
645,8
646,8
647,8
648,7
649,1
650,1
655,8
656,1
660,1
664,0
666,2
667,5
668,2
676,2
677,1
687,8
689,6
692,4
693,7
694,9
696,0
704,9
709,8
710,1
711,2
714,0
715,9
718,1
721,8
723,7
726,7
732,0
733,8
737,2
742,6
744,9
746,8
753,0
754,1
759,7
762,0
768,8
769,0
774,9
777,8
780,9
785,5
790,7
793,8
795,9
805,4
807,0
808,0
809,0
810,1
814,0
817,8
819,5
823,0
824,0
827,8
830,8
833,1
834,7
835,7
838,8
841,0
845,9
846,8
848,1
854,7
855,7
859,6
860,2
863,7
864,8
868,2
878,4
879,8
882,2
883,5
885,5
886,0
892,4
898,5
900,8
901,0
902,8
907,0
914,1
915,2
918,6
919,1
927,6
932,2
933,6
935,9
937,7
940,4
941,0
942,9
943,5
945,0
948,0
953,9
955,0
961,9
962,0
965,9
968,4
972,8
975,0
977,7
978,2
980,2
987,0
988,0
989,9
992,7
997,4
1000,0
1001,2
1003,5
1004,7
1005,7
1010,9
1024,0
1026,7
1031,9
1033,2
1036,2
1048,6
1050,9
1051,4
1052,2
1055,2
1060,7
1063,2
1076,7
1081,8
1082,4
1083,8
1084,1
1087,0
1089,1
1093,2
1097,7
1098,0
1100,1
1105,2
1107,1
1113,8
1119,0
1120,0
1123,0
1124,7
1128,0
1137,8
1141,8
1142,9
1145,5
1157,6
1161,0
1170,0
1171,8
1172,4
1177,8
1178,7
1181,3
1190,6
1197,6
1199,0
1202,0
1203,9
1208,8
1211,2
1214,8
1218,2
1219,0
1220,0
1229,4
1232,0
1235,8
1237,4
1239,0
1241,6
1247,4
1249,0
1263,1
1279,9
1282,6
1284,2
1288,9
1289,0
1292,8
1297,1
1301,5
1302,6
1310,4
1314,5
1317,0
1335,7
1339,0
1341,8
1343,1
1344,9
1345,8
1346,6
1355,7
1357,0
1358,8
1374,8
1381,2
1382,8
1384,6
1392,8
1405,9
1407,9
1410,5
1412,1
1421,9
1426,0
1431,7
1437,8
1440,0
1447,8
1452,9
1460,0
1462,1
1465,1
1466,7
1478,0
1482,9
1487,7
1496,4
1499,0
1501,9
1507,9
1512,0
1514,2
1516,9
1518,0
1521,1
1522,0
1523,0
1524,1
1526,8
1532,0
1536,7
1539,7
1542,9
1543,9
1552,9
1556,6
1563,0
1571,0
1584,7
1588,4
1591,9
1594,8
1599,5
1604,0
1614,6
1618,6
1621,0
1624,0
1629,2
1631,5
1632,0
1638,0
1655,8
1657,0
1668,5
1669,6
1703,8
1705,2
1717,0
1718,2
1719,4
1723,3
1724,7
1735,9
1759,6
1761,8
1765,7
1783,2
1788,7
1790,4
1792,7
1794,1
1800,2
1802,5
1817,1
1819,9
1821,7
1822,0
1826,7
1831,7
1837,9
1839,3
1840,6
1842,0
1854,7
1859,9
1870,0
1876,7
1879,7
1884,0
1885,6
1888,7
1898,8
1919,0
1922,1
1923,8
1926,2
1927,6
1943,0
1945,2
1947,7
1949,2
1961,9
1970,0
1973,6
1976,4
1982,0
1991,9
1994,5
2000,0
2003,6
2005,1
2010,8
2014,6
2023,4
2030,4
2034,5
2039,2
2046,1
2047,6
2051,8
2053,2
2054,9
2057,7
2058,1
2060,1
2063,0
2064,9
2069,9
2070,5
2072,9
2073,9
2074,6
2078,0
2080,0
2085,1
2099,1
2112,9
2115,0
2124,0
2125,0
2126,0
2128,9
2129,0
2131,4
2132,4
2133,4
2138,0
2142,9
2143,2
2154,9
2159,5
2167,1
2183,1
2184,0
2188,7
2191,1
2192,7
2193,6
2195,8
2201,8
2203,8
2204,3
2206,2
2213,7
2216,5
2220,0
2224,2
2225,9
2226,8
2231,7
2239,2
2243,7
2244,0
2250,7
2257,6
2259,4
2262,8
2269,2
2270,5
2274,0
2280,8
2282,5
2283,6
2284,5
2288,4
2289,2
2296,2
2297,9
2298,0
2299,8
2307,5
2308,1
2309,1
2312,1
2321,8
2324,1
2327,5
2328,0
2335,5
2338,5
2342,7
2343,8
2347,0
2348,7
2351,8
2353,9
2355,1
2357,2
2359,0
2360,9
2363,7
2369,0
2373,8
2386,6
2388,7
2399,4
2401,8
2402,7
2403,0
2406,2
2416,6
2419,5
2425,7
2426,5
2434,6
2436,0
2438,7
2441,9
2442,0
2446,7
2450,5
2459,4
2460,9
2462,0
2466,0
2469,7
2471,7
2483,0
2484,7
2485,0
2487,7
2490,1
2494,8
2496,5
2497,4
2502,8
2505,2
2507,0
2509,7
2514,9
2515,7
2521,1
2522,2
2525,6
2528,2
2531,0
2532,2
2538,1
2540,9
2543,5
2545,7
2551,8
2556,5
2563,0
2566,8
2568,0
2573,2
2581,0
2584,6
2585,6
2587,0
2588,0
2589,8
2593,2
2604,8
2605,9
2611,4
2616,6
2617,0
2620,5
2623,1
2631,0
2634,5
2639,6
2644,4
2645,2
2651,2
2654,1
2661,6
2662,6
2666,8
2667,0
2673,4
2675,7
2676,6
2678,4
2680,9
2688,2
2695,0
2696,9
2706,1
2708,6
2711,0
2713,9
2716,0
2723,8
2726,9
2728,7
2731,5
2733,6
2734,8
2736,8
2748,6
2750,9
2755,8
2757,2
2761,9
2776,1
2782,8
2783,2
2784,0
2793,6
2802,4
2809,1
2810,4
2817,8
2819,5
2820,0
2823,9
2835,6
2843,9
2850,7
2851,1
2853,5
2855,5
2857,0
2858,5
2860,5
2861,6
2869,9
2871,8
2875,0
2880,0
2885,9
2888,1
2890,0
2892,0
2895,0
2896,7
2900,6
2902,5
2912,1
2915,5
2918,8
2921,1
2926,8
2928,8
2931,9
2932,6
2934,2
2935,7
2943,2
2948,7
2949,8
2952,7
2954,2
2955,0
2957,7
2960,9
2969,0
2981,9
2989,8
2990,6
2992,0
2993,7
2994,6
3004,7
3005,6
3006,5
3007,7
3011,2
3012,8
3013,0
3014,6
3019,5
3020,7
3022,0
3023,8
3025,8
3028,0
3029,7
3036,0
3037,9
3059,4
3062,1
3064,0
3069,0
3074,8
3076,9
3078,9
3084,0
3086,0
3087,9
3090,0
3091,1
3093,4
3098,9
3101,0
3102,6
3108,2
3112,0
3114,4
3117,6
3119,7
3125,2
3127,2
3140,2
3145,8
3146,2
3150,9
3152,4
3160,0
3163,1
3165,6
3166,9
3170,0
3173,4
3175,9
3176,2
3181,5
3182,1
3187,2
3191,7
3198,1
3202,6
3203,5
3204,4
3205,7
3209,7
3210,7
3216,0
3218,7
3222,4
3224,5
3227,6
3228,6
3229,5
3237,6
3238,0
3239,7
3243,9
3250,0
3251,6
3252,0
3253,0
3261,0
3263,0
3264,0
3266,1
3269,0
3270,7
3273,2
3274,2
3276,6
3280,1
3284,7
3285,5
3290,5
3293,9
3298,8
3299,4
3300,2
3307,2
3309,5
3310,4
3313,2
3314,5
3316,4
3319,7
3320,4
3321,9
3323,4
3327,5
3328,6
3333,8
3334,2
3346,4
3347,4
3348,5
3349,4
3350,1
3352,0
3354,9
3357,5
3361,8
3362,9
3364,2
3365,9
3369,7
3370,2
3372,0
3374,9
3375,5
3378,8
3383,0
3388,5
3393,9
3394,4
3395,6
3396,1
3399,7
3400,0
3404,9
3407,7
3409,8
3413,5
3414,1
3415,0
3418,5
3425,9
3426,2
3427,1
3429,0
3430,8
3433,7
3439,8
3443,4
3444,0
3445,9
3447,6
3448,0
3453,1
3454,2
3462,0
3464,2
3494,8
3498,0
3501,4
3506,9
3507,2
3511,4
3520,9
3532,0
3533,8
3539,4
3541,4
3544,0
3545,6
3546,9
3550,9
3552,1
3554,6
3556,9
3560,0
3561,9
3564,2
3570,7
3573,8
3575,8
3580,7
3582,8
3589,8
3590,7
3597,6
3601,1
3604,8
3608,0
3611,2
3613,8
3630,0
3633,5
3636,0
3641,7
3643,2
3651,0
3652,0
3654,2
3660,0
3667,8
3668,6
3669,1
3678,0
3685,9
3688,8
3693,5
3695,9
3699,5
3708,4
3715,5
3717,0
3725,5
3729,0
3733,4
3737,7
3739,1
3741,9
3746,0
3748,0
3752,7
3757,7
3758,8
3759,0
3761,7
3770,9
3771,9
3790,6
3793,7
3798,0
3808,8
3810,0
3819,7
3820,5
3821,6
3824,7
3833,1
3834,7
3842,6
3843,9
3850,5
3852,7
3856,7
3858,0
3870,9
3875,1
3878,9
3883,2
3886,7
3891,2
3910,5
3913,8
3916,1
3926,4
3931,0
3934,3
3938,9
3941,9
3943,8
3947,0
3955,7
3957,0
3964,2
3968,0
3969,2
3971,0
3977,9
3984,7
3985,2
3996,2
4005,5
4012,2
4026,9
4031,1
4035,1
4041,4
4042,3
4047,0
4049,2
4052,9
4057,0
4061,5
4067,6
4070,0
4072,9
4073,8
4077,4
4086,7
4089,7
4096,2
4101,1
4102,6
4107,2
4109,5
4128,0
4129,0
4131,9
4132,9
4135,5
4138,9
4140,0
4142,6
4143,1
4147,4
4150,2
4155,2
4157,8
4159,5
4164,7
4169,7
4172,0
4175,6
4177,6
4179,7
4180,1
4190,0
4192,6
4197,7
4199,7
4200,9
4203,1
4209,1
4214,2
4219,0
4224,0
4228,6
4229,6
4231,8
4237,9
4239,6
4241,2
4242,0
4243,1
4248,7
4251,0
4256,1
4259,1
4261,2
4262,1
4263,6
4267,0
4268,7
4269,0
4270,8
4271,0
4280,9
4281,5
4284,0
4289,7
4290,0
4296,8
4297,6
4298,4
4299,8
4304,6
4305,8
4309,7
4311,6
4312,0
4320,6
4322,7
4323,0
4326,2
4327,1
4328,2
4331,5
4334,9
4335,8
4336,5
4338,5
4341,1
4346,0
4347,1
4350,0
4354,0
4358,2
4369,0
4370,9
4371,0
4372,9
4374,9
4375,0
4377,8
4379,6
4380,0
4385,1
4393,9
4402,8
4412,7
4418,9
4422,9
4429,0
4430,8
4431,1
4439,9
4444,7
4446,4
4447,0
4448,0
4449,9
4462,8
4464,7
4465,2
4466,5
4468,7
4470,1
4471,7
4477,4
4478,6
4483,0
4486,9
4490,1
4491,0
4497,9
4499,7
4502,7
4503,7
4504,6
4505,4
4506,9
4507,2
4508,4
4509,0
4510,8
4512,6
4518,7
4520,9
4523,4
4525,7
4531,9
4533,3
4534,9
4542,7
4545,0
4547,7
4548,1
4549,6
4550,9
4552,7
4554,5
4555,0
4567,6
4569,7
4572,8
4574,1
4576,1
4581,2
4589,9
4591,0
4594,0
4599,8
4601,5
4608,0
4613,9
4617,2
4620,6
4621,2
4630,2
4632,9
4633,2
4634,7
4637,0
4642,6
4649,2
4656,9
4659,7
4660,6
4666,1
4667,2
4668,9
4670,7
4677,8
4686,9
4687,7
4688,2
4692,2
4694,6
4697,2
4698,9
4699,6
4702,7
4704,7
4705,2
4708,9
4711,0
4725,9
4729,1
4737,0
4743,9
4744,7
4747,9
4759,5
4761,4
4762,6
4776,7
4777,5
4778,2
4783,2
4785,8
4795,8
4802,4
4803,4
4814,8
4817,4
4819,7
4820,2
4824,1
4830,7
4839,0
4841,9
4842,7
4843,4
4846,0
4848,7
4858,8
4864,1
