|Topico 0|Topico 1|Topico 2|Topico 3|Topico 4|Topico 5|Topico 6|Topico 7|Topico 8|Topico 9|id|dominant_topic
0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|16|4
1|0.277|0.0|0.0|0.4614|0.0|0.0|0.0|0.2616|0.0|0.0|18|3
2|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|22|0
3|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2892|0.7108|0.0|36|8
4|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|38|7
5|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|46|5
6|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|52|3
7|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|58|4
8|0.0|0.7248|0.0|0.0|0.0|0.0|0.0|0.2752|0.0|0.0|61|1
9|0.0|0.0|0.0|0.0|0.0|0.6914|0.2414|0.0671|0.0|0.0|63|5
10|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|67|6
11|0.7229|0.0|0.0|0.0|0.0|0.0|0.0|0.1361|0.141|0.0|69|7
12|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|70|9
13|0.0|0.5537|0.0|0.0|0.0|0.0|0.0|0.4463|0.0|0.0|74|7
14|0.217|0.0|0.0|0.0|0.0|0.783|0.0|0.0|0.0|0.0|76|5
15|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5855|0.4145|0.0|81|7
16|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|83|6
17|0.1642|0.0|0.0311|0.1269|0.0|0.429|0.0|0.0|0.0411|0.2077|86|5
18|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|87|9
19|0.0|0.0|0.0|0.0|0.0|0.5334|0.0|0.4666|0.0|0.0|94|7
20|0.0|0.0|0.5767|0.0|0.0|0.2317|0.0|0.0|0.1917|0.0|97|2
21|0.1672|0.0|0.0|0.2768|0.0|0.1961|0.0|0.0|0.2102|0.1498|98|3
22|0.0442|0.0|0.0|0.1569|0.0|0.0|0.4213|0.0536|0.0538|0.2702|100|6
23|0.0|0.1039|0.0|0.0|0.392|0.0|0.0|0.5041|0.0|0.0|102|7
24|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|107|5
25|0.7834|0.0|0.0|0.0|0.0|0.0|0.0|0.2166|0.0|0.0|109|0
26|0.7126|0.0|0.0|0.2874|0.0|0.0|0.0|0.0|0.0|0.0|110|0
27|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|120|3
28|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|122|4
29|0.3181|0.0|0.0|0.4299|0.0|0.0246|0.0|0.0|0.2013|0.0261|124|3
30|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|126|3
31|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|127|3
32|0.0|0.1084|0.0|0.0|0.0|0.0|0.0|0.0|0.8916|0.0|131|5
33|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|132|7
34|0.0679|0.0614|0.0324|0.1073|0.0362|0.0|0.0738|0.0933|0.1071|0.4206|137|7
35|0.0336|0.0|0.3845|0.0|0.0|0.0|0.1558|0.0756|0.065|0.2856|141|2
36|0.0|0.0|0.0|0.0|0.0|0.1777|0.6647|0.0|0.1577|0.0|142|0
37|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|149|4
38|0.0|0.0|0.0|0.0|0.0|0.5415|0.0|0.0751|0.2082|0.1752|151|5
39|0.0632|0.0|0.0771|0.1171|0.0|0.4883|0.0|0.1321|0.0|0.1222|152|5
40|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|153|8
41|0.0714|0.0|0.1967|0.0|0.0|0.645|0.0|0.0|0.0|0.0869|162|5
42|0.0|0.1935|0.0|0.0|0.1635|0.0|0.2112|0.3072|0.0282|0.0963|163|7
43|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|164|8
44|0.0|0.0|0.1479|0.0|0.0|0.0|0.1703|0.0|0.6818|0.0|168|8
45|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|169|7
46|0.0|0.0|0.0|0.4718|0.0|0.0827|0.0|0.0|0.253|0.1925|170|8
47|0.0|0.0|0.921|0.0|0.0|0.079|0.0|0.0|0.0|0.0|171|2
48|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|172|6
49|0.2604|0.0|0.0|0.4316|0.0|0.0|0.308|0.0|0.0|0.0|190|3
50|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|192|6
51|0.178|0.0606|0.1014|0.5172|0.0301|0.0|0.0|0.0853|0.0274|0.0|193|3
52|0.0|0.4065|0.0|0.0|0.2471|0.0|0.0|0.3464|0.0|0.0|211|1
53|0.208|0.0|0.0|0.5921|0.0|0.1131|0.0|0.0|0.0|0.0868|214|3
54|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|215|4
55|0.3831|0.0273|0.0204|0.0216|0.1396|0.0895|0.0|0.1281|0.0445|0.1459|219|0
56|0.0|0.1582|0.0|0.0|0.5147|0.0|0.1771|0.15|0.0|0.0|220|4
57|0.0|0.3207|0.0|0.0|0.0|0.1634|0.0|0.0|0.3323|0.1835|227|1
58|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|229|9
59|0.0|0.0641|0.5579|0.1276|0.0266|0.0|0.2238|0.0|0.0|0.0|231|2
60|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|237|5
61|0.1056|0.0|0.5199|0.0566|0.0|0.1275|0.1904|0.0|0.0|0.0|239|2
62|0.0|0.0426|0.0|0.0397|0.0|0.0|0.0497|0.0|0.0|0.868|244|9
63|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|247|4
64|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|248|6
65|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|251|6
66|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|266|6
67|0.2346|0.0|0.0341|0.1774|0.0|0.0|0.0|0.0|0.1153|0.4386|271|9
68|0.4493|0.0|0.0|0.2658|0.0|0.0287|0.0|0.1944|0.0617|0.0|272|0
69|0.0|0.2358|0.0|0.0|0.5652|0.0|0.0|0.199|0.0|0.0|273|4
70|0.1774|0.0|0.0|0.0535|0.0|0.7691|0.0|0.0|0.0|0.0|274|5
71|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|276|8
72|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|280|7
73|0.1619|0.0|0.5001|0.0|0.3379|0.0|0.0|0.0|0.0|0.0|281|4
74|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|283|6
75|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|284|1
76|0.0|0.0|0.0|0.3961|0.0|0.0|0.0|0.0|0.0|0.6039|285|9
77|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|286|4
78|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|289|0
79|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|290|3
80|0.0|0.0|0.0|0.1126|0.188|0.0|0.048|0.0992|0.0519|0.5003|291|9
81|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|293|0
82|0.0|0.353|0.0|0.0|0.1386|0.0|0.1883|0.2233|0.0969|0.0|296|1
83|0.0|0.0|0.7534|0.0|0.0|0.2466|0.0|0.0|0.0|0.0|307|2
84|0.0958|0.0|0.5327|0.1008|0.0285|0.1349|0.0454|0.0|0.0282|0.0338|312|2
85|0.0|0.0|0.0|0.278|0.0|0.0|0.0|0.0|0.722|0.0|315|8
86|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|330|5
87|0.5262|0.0|0.0|0.2654|0.0|0.0|0.0|0.0|0.0792|0.1292|333|0
88|0.914|0.0|0.0|0.0|0.0|0.0|0.0|0.086|0.0|0.0|339|0
89|0.0875|0.0|0.0448|0.0484|0.0|0.7474|0.0281|0.0|0.0437|0.0|341|5
90|0.0|0.4106|0.0|0.0|0.1661|0.0|0.0|0.4233|0.0|0.0|342|7
91|0.7818|0.0|0.0|0.0|0.0|0.0|0.2182|0.0|0.0|0.0|344|0
92|0.4979|0.0|0.0|0.0434|0.0|0.3115|0.0|0.0|0.0|0.1472|347|0
93|0.2053|0.0|0.0|0.0|0.0|0.7947|0.0|0.0|0.0|0.0|350|5
94|0.0823|0.386|0.0|0.0496|0.0168|0.0|0.0976|0.0835|0.0677|0.2165|356|1
95|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|358|5
96|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|359|5
97|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|360|9
98|0.1235|0.0|0.0|0.0642|0.0|0.3673|0.0605|0.326|0.0|0.0585|371|7
99|0.0|0.0|0.0|0.0|0.0|0.3636|0.0|0.6364|0.0|0.0|373|7
100|0.6907|0.0|0.0|0.0|0.0|0.3093|0.0|0.0|0.0|0.0|374|0
101|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|376|5
102|0.169|0.0|0.3688|0.0|0.0|0.3759|0.0|0.0863|0.0|0.0|383|2
103|0.1026|0.0|0.0538|0.1552|0.0|0.5789|0.0|0.0|0.0|0.1095|385|5
104|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|388|6
105|0.166|0.0|0.4434|0.1392|0.0|0.2515|0.0|0.0|0.0|0.0|391|5
106|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|395|9
107|0.0|0.0|0.0758|0.0|0.0|0.8159|0.0|0.0|0.0|0.1083|398|5
108|0.2984|0.0|0.0|0.0|0.3907|0.0|0.0|0.3109|0.0|0.0|403|4
109|0.0|0.0|0.0|0.0|0.0|0.4733|0.3414|0.1853|0.0|0.0|411|6
110|0.2477|0.0|0.0|0.0|0.0|0.0|0.2829|0.2412|0.0|0.2281|419|9
111|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|420|6
112|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|421|9
113|0.389|0.0|0.0|0.0|0.0|0.4138|0.0932|0.104|0.0|0.0|429|5
114|0.2122|0.2014|0.0|0.0|0.3896|0.0|0.0|0.0|0.1968|0.0|430|8
115|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|431|6
116|0.0|0.0|0.5495|0.2259|0.0|0.0367|0.0692|0.033|0.0|0.0857|437|2
117|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|443|1
118|0.7155|0.2845|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|445|0
119|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3901|0.6099|456|9
120|0.3162|0.0|0.2759|0.0|0.1031|0.3048|0.0|0.0|0.0|0.0|457|0
121|0.0345|0.0|0.0737|0.0351|0.3728|0.0|0.0|0.3642|0.0|0.1196|460|7
122|0.0327|0.0|0.0|0.0|0.2134|0.7539|0.0|0.0|0.0|0.0|461|5
123|0.0|0.0|0.0|0.0|0.0|0.0972|0.0|0.9028|0.0|0.0|468|7
124|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|472|8
125|0.0|0.0|0.619|0.0|0.381|0.0|0.0|0.0|0.0|0.0|475|2
126|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|476|9
127|0.0843|0.19|0.0|0.1377|0.0562|0.0|0.0575|0.2098|0.0872|0.1773|480|7
128|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|485|5
129|0.2406|0.0|0.0|0.7033|0.0|0.0|0.0|0.0|0.0|0.0561|496|3
130|0.0|0.0|0.0|0.0|0.5013|0.0|0.0|0.0|0.0|0.4987|500|9
131|0.0|0.5369|0.1949|0.0879|0.0927|0.0|0.0|0.0877|0.0|0.0|507|7
132|0.0|0.0|0.0|0.0|0.0|0.2273|0.3554|0.2358|0.0|0.1816|508|6
133|0.3317|0.0|0.0|0.0|0.0|0.0|0.0|0.6683|0.0|0.0|512|0
134|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|520|1
135|0.663|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.337|525|0
136|0.0|0.3111|0.0|0.0|0.1684|0.0|0.0|0.5205|0.0|0.0|528|7
137|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|530|6
138|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|534|5
139|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|535|4
140|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|546|4
141|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|549|5
142|0.0|0.5606|0.0|0.0|0.0|0.0|0.1813|0.2581|0.0|0.0|551|1
143|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|553|8
144|0.0|0.2347|0.0|0.0|0.4748|0.0|0.0351|0.2554|0.0|0.0|557|4
145|0.0|0.0|0.0|0.0|0.0|0.0|0.239|0.4646|0.0|0.2964|558|7
146|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|561|7
147|0.0|0.0|0.0|0.0|0.4222|0.0|0.3587|0.2191|0.0|0.0|562|6
148|0.2704|0.0|0.0883|0.0902|0.0933|0.3283|0.0|0.0|0.0672|0.0622|563|5
149|0.3019|0.0|0.0|0.1465|0.0|0.1886|0.0441|0.057|0.1522|0.1098|565|0
150|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|570|0
151|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|571|5
152|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|579|6
153|0.0|0.3336|0.0|0.0|0.1989|0.0|0.2736|0.1938|0.0|0.0|583|6
154|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|593|0
155|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|594|1
156|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|595|1
157|0.0|0.0|0.7759|0.0|0.0|0.0|0.0|0.0|0.0|0.2241|597|5
158|0.0|0.0|0.0|0.3117|0.0|0.0|0.0|0.0|0.6883|0.0|603|8
